site,Latitude,Longitude,avgChl1318,avg_DO_wc,avg_pH_wc,sstSD9524,sstSD1318,DHWmax1318
ALG,-33.360022,-71.668728,3.63183,-999,-999,1.614733204,-999,-999
AM,36.283333,-121.876392,2.87798,178.3194716,7.843661233,1.416865906,1.097886402,7.743333
ANC,-41.865314,-73.831927,5.6662302,-999,-999,1.139709222,-999,-999
AQ,34.47,-120.119,2.94731,206.4936345,7.906577932,2.027653631,1.119899239,20.365
AVI,35.24124,-120.8955,5.3836398,192.7305279,7.872315026,1.498348992,0.956587772,8.568333
BAM,-40.581556,-73.738197,5.5420399,-999,-999,1.266946935,-999,-999
BCP,33.44844,-118.47891,0.452175,-999,-999,2.406473592,0.906176242,16.773333
BGC,36.06888,-121.601,3.78227,193.0359309,7.869769441,1.463899257,1.050356853,8.705
BOB,38.313195,123.051401,1.7109801,-999,-999,7.466127257,-999,-999
BOC,-33.903175,-71.834772,3.96069,-999,-999,-999,-999,-999
BOO,32.8522,-117.276,1.2421401,194.5201812,7.911697585,2.547025816,1.021753516,18.543333
CAR,36.26315,-121.856617,2.87798,178.3194716,7.843661233,1.416865906,1.102211862,7.986667
CAY,35.446456,-120.932394,5.5364499,220.8712794,7.917547865,1.497622004,-999,-999
CB,33.157,-117.36,2.10428,221.7942808,7.955961415,2.551787018,1.036020997,18.085
CHO,-36.806467,-73.177088,7.8117499,-999,-999,1.148552564,-999,-999
CI,33.462,-118.511,0.441355,-999,-999,2.407520046,0.902677591,16.933333
DAL,-42.382756,-73.655023,-999,-999,-999,1.422513147,-999,-999
DAN,33.54213,-117.795,-999,211.9132381,7.937866219,2.429537038,1.01212373,19.23
DOC,-33.139851,-71.708218,1.96874,-999,-999,1.628642708,-999,-999
HAL,33.52987,-117.78093,-999,-999,-999,2.429537038,1.013659477,18.871667
HAZ,35.28,-120.88,5.3836398,-999,-999,1.494923359,0.949346175,8.035
IRC,33.44768,-118.51165,0.441355,-999,-999,2.400529038,0.902460756,17.098333
LAJ,32.80959,-117.28662,1.2421401,-999,-999,2.534626442,1.021047899,18.166667
MAL,34.02193,-118.77394,-999,-999,-999,-999,-999,-999
MILL,35.97975766,-121.4904643,5.0388398,201.2489169,7.884797766,1.471597792,1.040853229,8.625
MO,36.617145,-121.895693,8.6023197,214.0997273,7.905411722,1.34339119,0.989931868,12.16
MOH,34.39456,-119.73,2.4720399,-999,-999,2.118042357,1.105325274,22.143333
MON,-33.492179,-71.642485,3.7067001,-999,-999,1.60978012,-999,-999
MPC,34.019228,-118.78766,-999,-999,-999,-999,-999,
PAO,33.706936,-118.285892,-999,185.7586033,7.890739959,2.303538793,0.974982105,14.051667
PCH,-29.245712,-71.466174,4.7265501,-999,-999,1.721519785,-999,-999
PL,32.678617,-117.253367,1.33176,199.3944481,7.924305492,2.439392446,1.017301477,15.563333
PLB,-28.1851111,-71.1651667,1.97428,-999,-999,1.755824906,-999,-999
PP,36.952702,-121.9711,12.8015003,-999,-999,-999,0.999935868,15.505
PV,33.7203,-118.33722,2.82446,-999,-999,-999,-999,-999
SB,34.47,-120.119,2.94731,206.4936345,7.906577932,2.027653631,1.119899239,20.365
SC,34.032411,-119.524502,1.59434,-999,-999,2.195421838,1.074340883,18.638333
SHB,35.16902,-120.69715,6.4604502,212.609946,7.895633542,1.497857664,0.951484129,9.225
SM,34.051883,-120.33885,2.25365,194.5995101,7.886020163,1.771977601,1.058340187,14.785
STL,36.56012,-121.94732,5.4705801,-999,-999,1.342775005,0.997009378,11.236667
TER,36.944867,-122.064283,7.3067899,215.5412445,7.902502418,1.370884463,1.013101178,13.315
TOT,-32.022839,-71.508658,1.32547,-999,-999,1.745095813,-999,-999
TUM,-36.623731,-73.093019,7.53931,-999,-999,1.117638905,-999,-999
TWH,33.426588,-118.50619,0.441355,-999,-999,2.400529038,0.902460756,17.098333
VEN,34.355524,-119.44123,3.16802,-999,-999,-999,1.089001376,20.125
