#GROUP	INDEX	MIN_GQ	MIN_DP
AM	0,1,2,3,4,5,6,7,8,9	15	5
MO	10,11,12,13,14,15,16,17,18,19	15	5
PL	20,21,22,23,24,25,26,27,28	15	5
PP	29,30,31,32,33,34,35,36,37	15	5
PV	38,39,40,41,42,43,44,45,46,47,172,173,174,175,176,177	15	5
SC	48,49,50,51,52,53,54,55,56	15	5
SM	57,58,59,60,61,62,63,64,65,66	15	5
AVI	67,68,69,70,71,72,73,74,75,76,77,78	15	5
BCP	79,80,81,82,83	15	5
BGC	84,85,86,87,88	15	5
BOB	89,90,91,92,93,94,95,96	15	5
BOO	97,98,99,100	15	5
CAR	101,102,103,104,105,106	15	5
DAN	107,108,109,110,111,112	15	5
HAL	113,114,115,116,117	15	5
HAZ	118,119,120,121,122,123	15	5
IRC	124,125,126,127,128,129,130,131,132,133	15	5
LAJ	134,135,136,137,138,139,140,141,142,143	15	5
MAL	144,145,146,147,148,149	15	5
MILL	150,151,152,153,154,155	15	5
MOH	156,157,158,159,160,161,162,163,164,165	15	5
PAO	166,167,168,169,170,171	15	5
SHB	178,179,180,181,182,183	15	5
STL	184,185,186,187,188,257,258,259,260,261,262,263,264,265,266	15	5
TER	189,190,191,192,193,194,195,196,197	15	5
TWH	198,199,200,201,202,203	15	5
ALG	204,205,206,207	15	5
ANC	208,209,210,211,212	15	5
BAM	213,214,215,216,217	15	5
BOC	218,219,220,221,222	15	5
CAY	223,224,225,226,227	15	5
CHO	228,229,230,231,232	15	5
DAL	233,234,235,236,237	15	5
DOC	238,239,240,241	15	5
MON	242,243,244,245,246	15	5
PCH	247,248,249,250,251	15	5
PLB	252,253,254,255,256	15	5
TOT	267,268,269,270,271	15	5
TUM	272,273,274,275,276	15	5
AQ	277,278,279,280,281,282,283,284,285,286,287,288,289,290,291	15	5
CB	292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308	15	5
CI	309,310,311,312,313,314,315,316	15	5
